latin	thaana
Hithadhoo	ހިތަދޫ
kulhudhuffushi	ކުޅުދުއްފުށި
Thinadhoo	ތިނަދޫ
Hinnavaru	ހިންނަވަރު
Naifaru	ނައިފަރު
Dhidhdhoo	ދިއްދޫ
Guraidhoo	ގުރައިދޫ
maradhoo	މަރަދޫ
Eydhafushi	އޭދަފުށި
Hoarafushi	ހޯރަފުށި
vilingili	ވިލިނގިލި
Meedhoo	މީދޫ
Gadhdhoo	ގައްދޫ
Ihavandhoo	އިހަވަންދޫ
Alifushi	އަލިފުށި
Maduvvari	މަޑުއްވަރި
Thulhaadhoo	ތުޅާދޫ
Thimarafushi	ތިމަރަފުށި
Kudahuvadhoo	ކުޑަހުވަދޫ
Velidhoo	ވެލިދޫ
Nilandhoo	ނިލަންދޫ
Maamigili	މާމިގިލި
Holhudhoo	ހޮޅުދޫ
Maamendhoo	މާމެންދޫ
Fonadhoo	ފޮނަދޫ
Kelaa	ކެލާ
Mahibadhoo	މަހިބަދޫ
Funadhoo	ފުނަދޫ
Komandoo	ކޮމަންޑޫ
nolhivaran	ނޮޅިވަރަން
Vilufushi	ވިލުފުށި
Kaashidhoo	ކާށިދޫ
Milandhoo	މިލަންދޫ
Kurendhoo	ކުރެންދޫ
Dhaandhoo	ދާންދޫ
Maavah	މާވަށް
Inguraidhoo	އިނގުރައިދޫ
Vaikaradhoo	ވައިކަރަދޫ
Baarah	ބާރަށް
Madaveli	މަޑަވެލި
maradhoo feydhoo	މަރަދޫފޭދޫ
Vaadhoo	ވާދޫ
Hanimaadhoo	ހަނިމާދޫ
Kolamaafushi	ކޮލަމާފުށި
Manadhoo	މަނަދޫ
mulah	މުލައް
Thoddoo	ތޮއްޑޫ
Makunudhoo	މަކުނުދޫ
Foakaidhoo	ފޯކައިދޫ
Dhiggaru	ދިއްގަރު
Hulhudhuffaaru	ހުޅުދުއްފާރު
Ungoofaaru	އުނގޫފާރު
Kolhufushi	ކޮޅުފުށި
Neykurendhoo	ނޭކުރެންދޫ
Dhuvaafaru	ކަނދޮޅުދޫ
Omadhoo	އޮމަދޫ
Hithaadhoo	ހިތާދޫ
Rathafandhoo	ރަތަފަންދޫ
Kinbidhoo	ކިނބިދޫ
Kumundhoo	ކުމުންދޫ
Fiyoaree	ފިޔޯރީ
Nolhivaranfaru	ނޮޅިވަރަންފަރު
Kanditheemu	ކަނޑިތީމު
bilehdhoo	ބިލެތްދޫ
Maafushi	މާފުށި
Dhevvadhoo	ދެއްވަދޫ
Dhiffushi	ދިއްފުށި
Madifushi	މަޑިފުށި
Maakurathu	މާކުރަތު
Isdhoo	އިސްދޫ
Goidhoo	ގޮއިދޫ
Miladhoo	މިލަދޫ
Gaafaru	ގާފަރު
Kendhoo	ކެންދޫ
Maalhos	މާޅޮސް
Veymandoo	ވޭމަންޑޫ
hoandedhdhoo	ހޯނޑެއްދޫ
Gemanafushi	ގެމަނަފުށި
Rasdhoo	ރަސްދޫ
Dharavandhoo	ދަރަވަންދޫ
Feydhoo	ފޭދޫ
Maafaru	މާފަރު
Filladhoo	ފިއްލަދޫ
Feeali	ފީއަލި
Hirilandhoo	ހިރިލަންދޫ
Maaungoodhoo	މާއުނގޫދޫ
Nellaidhoo	ނެއްލައިދޫ
Maabaidhoo	މާބައިދޫ
Thulusdhoo	ތުލުސްދޫ
Maaenboodhoo	މާއެނބޫދޫ
Fenfushi	ފެންފުށި
Feevah	ފީވައް
Dhanbidhoo	ދަނބިދޫ
Landhoo	ލަންދޫ
Magoodhoo	މަގޫދޫ
Maroshi	މަރޮށި
Rasgetheemu	ރަސްގެތީމު
Muli	މުލި
Thakandhoo	ތަކަންދޫ
hinmafushi	ހިންމަފުށި
Huraa	ހުރާ
Dhangethi	ދަނގެތި
Muraidhoo	މުރައިދޫ
