letter	coda_form	bare	sukun	bare_share
ނ	SUKUN	2	2363	0.0008
ސ	SUKUN	1	1534	0.0007
ޓ	SUKUN	0	1400	0.0000
ކ	SUKUN	0	1324	0.0000
ރ	BARE	1197	1	0.9992
ލ	SUKUN	0	958	0.0000
ޑ	SUKUN	1	740	0.0013
ބ	SUKUN	0	526	0.0000
މ	SUKUN	0	517	0.0000
ފ	SUKUN	0	357	0.0000
ޕ	SUKUN	0	329	0.0000
ގ	SUKUN	25	227	0.0992
ޒ	SUKUN	0	214	0.0000
ވ	SUKUN	1	155	0.0064
ޖ	SUKUN	0	109	0.0000
ޝ	SUKUN	0	101	0.0000
ތ	SUKUN	0	75	0.0000
ޗ	SUKUN	0	69	0.0000
ޜ	SUKUN	0	4	0.0000
އ	SUKUN	0	2	0.0000
ހ	SUKUN	1	0	1.0000
ދ	SUKUN	0	1	0.0000
ށ	SUKUN	0	1	0.0000
