phoneme	thaana	count	share	total	alternatives
k	ކ	2064	0.9995	2065	ޗ(1)
r	ރ	2037	0.9995	2038	ޓ(1)
n	ނ	1933	0.9995	1934	ޔ(1)
t	ޓ	1860	0.9920	1875	ޑ(12) ޗ(2) ތ(1)
l	ލ	1670	1.0000	1670	
s	ސ	1563	0.9787	1597	ޒ(28) ޝ(3) ކ(2) ޗ(1)
d	ޑ	1513	0.9980	1516	ރ(1) ޓ(1) ތ(1)
m	މ	1349	0.9985	1351	ނ(2)
b	ބ	1071	0.9991	1072	ޕ(1)
f	ފ	833	0.9964	836	ވ(1) ޟ(1) ޕ(1)
p	ޕ	556	1.0000	556	
ʃ	ޝ	334	0.9882	338	ސ(2) ޗ(1) ޓ(1)
v	ވ	307	0.9968	308	ފ(1)
z	ޒ	215	0.7734	278	ސ(63)
ɡ	ގ	274	0.9928	276	ކ(1) ނ(1)
tʃ	ޗ	248	0.9430	263	ޝ(7) ކ(6) ޓ(2)
dʒ	ޖ	205	0.9762	210	ގ(2) ޜ(1) ޒ(1) ޔ(1)
ŋ	ނ	171	1.0000	171	
w	ވ	111	1.0000	111	
θ	ތ	95	0.9896	96	ދ(1)
h	ހ	55	1.0000	55	
ʒ	ޜ	15	0.6000	25	ޖ(5) ޝ(4) ޒ(1)
j	ޔ	23	0.9200	25	ޖ(1) ރ(1)
ð	ދ	18	0.8182	22	ތ(4)
