phoneme	fili	count	share	total	alternatives
ə	ަ	1476	0.5457	2705	ެ(545) ޮ(381) ާ(153) ި(73) ޭ(29)
ɪ	ި	2066	0.9357	2208	ެ(63) ީ(40) ަ(27) ޭ(10) ާ(2)
æ	ެ	810	0.7656	1058	ޭ(136) ަ(65) ާ(47)
ɛ	ެ	873	0.8721	1001	ި(104) ަ(17) ީ(6) ޭ(1)
i	ީ	395	0.6846	577	ި(180) ޭ(1) ެ(1)
ɒ	ޮ	480	0.8436	569	ޯ(52) ަ(21) ާ(12) ެ(3) ޭ(1)
aɪ:1	ަ	432	0.9977	433	ެ(1)
aɪ:2	ި	433	1.0000	433	
iː	ީ	381	0.8860	430	ި(41) ެ(6) ޭ(2)
ʌ	ަ	402	0.9663	416	ޮ(6) ު(6) ޫ(1) ި(1)
əʊ	ޯ	321	0.8447	380	ޮ(58) ޫ(1)
eɪ	ޭ	341	0.9191	371	ެ(20) ަ(4) ި(3) ާ(2) ީ(1)
ɑː	ާ	211	0.8373	252	ެ(23) ަ(10) ޭ(8)
ɔː	ޯ	200	0.8368	239	ޮ(29) ަ(8) ާ(2)
uː	ޫ	187	0.9212	203	ު(16)
ɜː	ާ	146	0.8488	172	ަ(26)
aʊ:1	ަ	117	0.9750	120	ޮ(2) ާ(1)
aʊ:2	ު	114	0.9500	120	ޮ(5) ޯ(1)
ɪə:1	ި	80	0.9756	82	ަ(2)
ɪə:2	ަ	66	0.8049	82	ާ(9) ޮ(4) ި(2) ެ(1)
ʊ	ު	57	0.8507	67	ޫ(7) ޮ(2) ަ(1)
ɔɪ:1	ޮ	42	0.8235	51	ޯ(9)
ɔɪ:2	ި	51	1.0000	51	
eə:1	ެ	33	0.9167	36	ި(3)
eə:2	ަ	29	0.8056	36	ި(6) ެ(1)
ʊə:1	ު	9	0.6429	14	ޫ(3) ޯ(1) ި(1)
ʊə:2	ަ	13	0.9286	14	ު(1)
ɔ	ޯ	5	0.7143	7	ޮ(2)
