phoneme	orth	fili	count	share	total
ɪ	i	ި	1441	0.9883	1458
æ	a	ެ	527	0.7209	731
ɛ	e	ެ	644	0.9429	683
ə	e	ަ	521	0.8090	644
ə	a	ަ	362	0.6453	561
ə	o	ޮ	360	0.6606	545
ɒ	o	ޮ	444	0.8880	500
i	#y	ީ	342	0.8281	413
ɪ	e	ި	281	0.7893	356
ʌ	u	ަ	327	0.9820	333
aɪ:1	i	ަ	315	1.0000	315
aɪ:2	i	ި	315	1.0000	315
ə	^a	ެ	268	0.9853	272
æ	^a	ެ	231	0.9352	247
əʊ	o	ޯ	190	0.8017	237
eɪ	a	ޭ	214	0.9304	230
ɛ	^e	ެ	138	0.6216	222
ɑː	a	ާ	136	0.7953	171
ə	io	ަ	159	1.0000	159
ɪ	^e	ި	114	0.9500	120
ə	u	ަ	87	0.7699	113
ə	#a	ާ	83	0.9765	85
iː	e	ީ	68	0.8000	85
aʊ:1	ou	ަ	76	1.0000	76
aʊ:2	ou	ު	76	1.0000	76
iː	ea	ީ	73	0.9733	75
uː	oo	ޫ	68	0.9714	70
ɜː	e	ާ	51	0.7727	66
əʊ	#o	ޯ	63	0.9692	65
iː	ee	ީ	59	1.0000	59
ɪ	y	ި	48	0.8571	56
ɔː	o	ޯ	41	0.7455	55
ɑː	^a	ާ	51	0.9273	55
ɜː	u	ާ	43	0.8431	51
ə	i	ި	44	0.8980	49
ʌ	o	ަ	43	0.8958	48
uː	u	ޫ	47	0.9792	48
ɔː	au	ޯ	43	0.9773	44
ɔː	a	ޯ	41	0.9535	43
aʊ:1	o	ަ	39	0.9512	41
aʊ:2	o	ު	37	0.9024	41
iː	i	ީ	30	0.7500	40
ə	ou	ަ	34	0.9444	36
ɪ	a	ި	21	0.6000	35
ɔɪ:1	oi	ޮ	33	0.9706	34
ɔɪ:2	oi	ި	34	1.0000	34
ʊ	oo	ު	34	1.0000	34
ɛ	ea	ެ	33	1.0000	33
iː	ie	ީ	28	1.0000	28
aɪ:1	#y	ަ	28	1.0000	28
aɪ:2	#y	ި	28	1.0000	28
ɜː	i	ާ	26	0.9630	27
aɪ:1	y	ަ	26	1.0000	26
aɪ:2	y	ި	26	1.0000	26
ʊ	u	ު	20	0.7692	26
ɔː	^au	ޯ	13	0.5000	26
ɪ	ui	ި	22	1.0000	22
əʊ	oa	ޯ	20	1.0000	20
ɒ	a	ާ	7	0.3684	19
i	#ie	ީ	16	0.8421	19
eɪ	#ay	ޭ	18	1.0000	18
ə	ia	ަ	18	1.0000	18
ɔː	^a	ޯ	16	0.9412	17
iː	#ee	ީ	16	1.0000	16
ɪə:1	ia	ި	16	1.0000	16
