a	އަ
aaa	ޓްރިޕަލޭ
aaberg	އޮބަރގް
aachen	އޮކަން
aachener	އޮކަނަރ
aah	އާ
aaker	އޮކަރ
aalborg	އޯލްބޯރގް
aalburg	އެލްބަރގް
aalen	އެލަން
aaliyah	އޮލީއޮ
aalseth	އޮލްސެތް
aalsmeer	އޮލްސްމިއަރ
aalto	އޮލްޓޯ
aamodt	އޮމޮޓް
aancor	އޮންކޯރ
aardema	އާރޑެމާ
aardvark	އާރޑްވާރކް
aardvarks	އާރޑްވާރކްސް
aardwolf	އާރޑްވުލްފް
aargh	އާރގް
aarhus	އޮރހޫސް
aaron	އެރޮރން
aarons	އެއަރޮންޒް
aaronson	އެއަރޮންސޮން
aarti	އާރޓީ
aase	އޮސް
aasen	އޮސަން
ab	އެބް
aba	އެބެ
ababa	އެބޮބާ
abaca	އެބެކާ
abacha	އެބަކާ
aback	އެބެކް
abaco	އެބަކޯ
abacus	އެބެކަސް
abacuses	އެބަކަސިޒް
abad	އެބޮޑް
abadaka	އެބެޑަކާ
abadi	އެބެޑީ
abadie	އެބެޑީ
abair	އެބެއަރ
abalkin	އެބޮލްކިން
abalone	އެބެލޯން
abalones	އެބަލޯނީޒް
abalos	އޮބޮލޯޒް
abandon	އެބެންޑޮން
abandoned	އަބެންޑަންޑް
abandoning	އެބެންޑޮނިން
abandonment	އެބެންޑޮންމަންޓް
abandonments	އެބެންޑޮންމަންޓްސް
abandons	އެބެންޑޮންޒް
abanto	އެބެންޓޯ
abarca	އެބާރކާ
abare	އޮބާއީ
abas	އެބެޒް
abascal	އެބަސްކަލް
abase	އެބޭސް
abasement	އަބޭސްމަންޓް
abash	އެބެޝް
abashed	އަބެޝްޓް
abasia	އެބޭޜިޔާ
abate	އެބޭޓް
abated	އެބޭޓިޑް
abatement	އަބޭޓްމަންޓް
abatements	އަބޭޓްމަންޓްސް
abates	އަބޭޓްސް
abating	އެބޭޓިން
abattoir	އެބަޓްވާރ
abattoirs	އެބަޓްވާރޒް
abb	އެބް
abba	އެބާ
abbado	އެބޮޑޯ
abbas	އެބޮސް
abbasi	އޮބޮސީ
abbate	އޮބޭޓް
abbatiello	އޮބޮޓީއެލޯ
abbe	އެބީ
abbenhaus	އެބަންހައުސް
abbess	އެބެސް
abbesses	އެބެސިޒް
abbett	އެބެޓް
abbeville	އެބްވިލް
abbey	އެބީ
abbeys	އެބީޒް
abbie	އެބީ
abbitt	އެބިޓް
abbot	އެބޮޓް
abbots	އެބޮޓްސް
abbotstown	އެބޮޓްސްޓައުން
abbott	އެބޮޓް
abbottstown	އެބޮޓްސްޓައުން
abboud	އެބޫޑް
abbreviate	އަބްރީވިއޭޓް
abbreviated	އަބްރީވިއޭޓިޑް
abbreviates	އެބްރީވިއޭޓްސް
abbreviating	އަބްރީވިއޭޓިން
abbreviation	އެބްރީވިއޭޝްން
abbreviations	އެބްރީވިއޭޝްންޒް
abbruzzese	އޮބްރޫޓްސޭޒީ
abbs	އެބްޒް
abby	އެބީ
abc	އޭބީސީ
abco	އެބްކޯ
abcotek	އެބްކޯޓެކް
abcs	އޭބީސީޒް
abd	އޭބީޑީ
abdalla	އެބްޑެލާ
abdallah	އެބްޑެލަ
abdel	އެބްޑެލް
abdella	އެބްޑެލާ
abdicate	އެބްޑިކޭޓް
abdicated	އެބްޑިކޭޓިޑް
abdicates	އެބްޑިކޭޓްސް
abdicating	އެބްޑިކޭޓިން
abdication	އެބްޑިކޭޝަން
abdnor	އެބްޑްނޮރ
abdo	އެބްޑޯ
abdollah	އެބްޑޮލަ
abdomen	އެބްޑޮމަން
abdomens	އެބްޑޮމަންޒް
abdominal	އެބްޑޮމިނަލް
abduct	އެބްޑަކްޓް
abducted	އެބްޑަކްޓިޑް
abductee	އެބްޑަކްޓީ
abductees	އެބްޑަކްޓީޒް
abducting	އެބްޑަކްޓިން
abduction	އެބްޑަކްޝަން
abductions	އެބްޑަކްޝަންޒް
abductor	އެބްޑަކްޓޮރ
abductors	އެބްޑަކްޓޮރޒް
abducts	އެބްޑަކްޓްސް
abdul	އެބްޑޫލް
abdulaziz	އެބްޑޫލަޒީޒް
abdulla	އޮބްޑޫލާ
abdullah	އެބްޑަލަ
abe	އޭބް
abeam	އެބީމް
abed	އެބެޑް
abedi	އެބެޑީ
abee	އެބީ
abel	އޭބަލް
abela	އޮބެލާ
abelard	އެބިލަރޑް
abele	އެބެލް
abeles	އަބެލްޒް
abell	އޭބަލް
abella	އެބެލާ
abeln	އެބިލްން
abelow	އެބަލޯ
abels	އޭބަލްޒް
abelson	އެބިލްސޮން
abend	އެބެންޑް
abendroth	އެބިންޑްރޯތް
aber	އޭބަރ
abercrombie	އެބަރކްރޮމްބީ
aberdeen	އެބަރޑީން
aberdeenshire	އެބަރޑީންޝިރ
aberford	އޭބަރފޮރޑް
aberg	އެބަރގް
aberle	އެބައަލް
abermin	އެބަރމިން
abernathy	އެބަރނެތީ
abernethy	އެބަރނެތީ
aberrant	އެބެރަންޓް
aberration	އެބަރޭޝަން
aberrational	އެބަރޭޝަނަލް
aberrations	އެބަރޭޝަންޒް
abert	އެބަރޓް
abet	އެބެޓް
abetted	އެބެޓިޑް
abetting	އެބެޓިން
abex	އޭބެކްސް
abeyance	އަބޭއަންސް
abeyta	އޮބޭޓާ
abhor	އެބްހޯރ
abhorred	އަބްހޯޑް
abhorrence	އެބްހޮރަންސް
abhorrent	އެބްހޮރަންޓް
abhorring	އެބްހޯރިން
abhors	އެބްހޯރޒް
abiam	އޭބީއަމް
abid	އޭބިޑް
abide	އެބައިޑް
abided	އެބައިޑިޑް
abides	އަބައިޑްޒް
abiding	އެބައިޑިން
abidjan	އެބިޖޮން
abie	އެބީ
abies	އެބައިޒް
abigail	އެބިގޭލް
abila	އޮބީލާ
abilene	އެބިލީން
abilities	އެބިލިޓީޒް
ability	އެބިލިޓީ
abimael	އެބިމޭލް
abimaels	އެބިމޭލްޒް
abingdon	އެބިންޑޮން
abington	އެބިންޓޮން
abio	އޮބީއޯ
abiola	އޮބީއޯލަ
abiomed	އޭބީއަމެޑް
abiquiu	އެބިކިޔު
abitibi	އެބިޓީބީ
abitz	އެބިޓްސް
abject	އެބްޖެކްޓް
abjection	އެބްޖެކްޝަން
abjectly	އެބްޖެކްޓްލީ
abjure	އެބްޖިޔޯރ
abkhazia	އެބްކޮޒިޔާ
abkhazian	އެބްކޮޒީއަން
abkhazians	އެބްކޮޒީއަންޒް
ablate	އެބްލޭޓް
ablation	އަބްލޭޓީއަން
ablaze	އެބްލޭޒް
able	އޭބްލް
abled	އޭބަލްޑް
abler	އޭބްލަރ
ables	އޭބަލްޒް
ablest	އޭބްލަސްޓް
abloom	އެބްލޫމް
ablution	އެބްލޫޝަން
ablutions	އެބްލޫޝަންޒް
ably	އޭބްލީ
